[2024-05-21T09:34:00.579+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-21T09:34:00.607+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: web_scraping_daily_ozonetmd.get_vr_dailycsv manual__2024-05-21T09:33:53.698029+00:00 [queued]>
[2024-05-21T09:34:00.624+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: web_scraping_daily_ozonetmd.get_vr_dailycsv manual__2024-05-21T09:33:53.698029+00:00 [queued]>
[2024-05-21T09:34:00.630+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 7
[2024-05-21T09:34:00.666+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): get_vr_dailycsv> on 2024-05-21 09:33:53.698029+00:00
[2024-05-21T09:34:00.717+0000] {standard_task_runner.py:63} INFO - Started process 325 to run task
[2024-05-21T09:34:01.511+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'web_scraping_daily_ozonetmd', 'get_vr_dailycsv', 'manual__2024-05-21T09:33:53.698029+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/daily_ozonetmd_bsoup4.py', '--cfg-path', '/tmp/tmpnh6dt80h']
[2024-05-21T09:34:01.513+0000] {standard_task_runner.py:91} INFO - Job 7: Subtask get_vr_dailycsv
[2024-05-21T09:34:07.678+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.9/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-05-21T09:34:07.784+0000] {task_command.py:426} INFO - Running <TaskInstance: web_scraping_daily_ozonetmd.get_vr_dailycsv manual__2024-05-21T09:33:53.698029+00:00 [running]> on host 32322ad8879e
[2024-05-21T09:34:07.986+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='web_scraping_daily_ozonetmd' AIRFLOW_CTX_TASK_ID='get_vr_dailycsv' AIRFLOW_CTX_EXECUTION_DATE='2024-05-21T09:33:53.698029+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-21T09:33:53.698029+00:00'
[2024-05-21T09:34:07.988+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-21T09:34:08.011+0000] {daily_ozonetmd_bsoup4.py:43} INFO - Directory '/opt/***/dags/data/21.05.2024' already exists.
[2024-05-21T09:34:08.201+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_581301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_581301.csv, skipping download.
[2024-05-21T09:34:08.206+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_465201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_465201.csv, skipping download.
[2024-05-21T09:34:08.209+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_432201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_432201.csv, skipping download.
[2024-05-21T09:34:08.213+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_407301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_407301.csv, skipping download.
[2024-05-21T09:34:08.217+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_405301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_405301.csv, skipping download.
[2024-05-21T09:34:08.220+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_354201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_354201.csv, skipping download.
[2024-05-21T09:34:08.224+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_331401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_331401.csv, skipping download.
[2024-05-21T09:34:08.227+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_327501.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_327501.csv, skipping download.
[2024-05-21T09:34:08.230+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_327202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_327202.csv, skipping download.
[2024-05-21T09:34:08.234+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_310201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_310201.csv, skipping download.
[2024-05-21T09:34:08.237+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_583201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_583201.csv, skipping download.
[2024-05-21T09:34:08.241+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_580201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_580201.csv, skipping download.
[2024-05-21T09:34:08.244+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_570201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_570201.csv, skipping download.
[2024-05-21T09:34:08.248+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_568502.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_568502.csv, skipping download.
[2024-05-21T09:34:08.251+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_568501.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_568501.csv, skipping download.
[2024-05-21T09:34:08.254+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_568401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_568401.csv, skipping download.
[2024-05-21T09:34:08.257+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_568301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_568301.csv, skipping download.
[2024-05-21T09:34:08.263+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_567201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_567201.csv, skipping download.
[2024-05-21T09:34:08.266+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_566202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_566202.csv, skipping download.
[2024-05-21T09:34:08.270+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_566201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_566201.csv, skipping download.
[2024-05-21T09:34:08.273+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_564202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_564202.csv, skipping download.
[2024-05-21T09:34:08.277+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_564201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_564201.csv, skipping download.
[2024-05-21T09:34:08.281+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_561201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_561201.csv, skipping download.
[2024-05-21T09:34:08.285+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_560301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_560301.csv, skipping download.
[2024-05-21T09:34:08.289+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_552401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_552401.csv, skipping download.
[2024-05-21T09:34:08.293+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_552301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_552301.csv, skipping download.
[2024-05-21T09:34:08.297+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_552201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_552201.csv, skipping download.
[2024-05-21T09:34:08.302+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_551401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_551401.csv, skipping download.
[2024-05-21T09:34:08.306+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_551301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_551301.csv, skipping download.
[2024-05-21T09:34:08.311+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_551203.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_551203.csv, skipping download.
[2024-05-21T09:34:08.315+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_551201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_551201.csv, skipping download.
[2024-05-21T09:34:08.319+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_532201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_532201.csv, skipping download.
[2024-05-21T09:34:08.323+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_517301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_517301.csv, skipping download.
[2024-05-21T09:34:08.327+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_517201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_517201.csv, skipping download.
[2024-05-21T09:34:08.331+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_501201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_501201.csv, skipping download.
[2024-05-21T09:34:08.335+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_500301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_500301.csv, skipping download.
[2024-05-21T09:34:08.339+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_500202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_500202.csv, skipping download.
[2024-05-21T09:34:08.343+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_500201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_500201.csv, skipping download.
[2024-05-21T09:34:08.346+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_480301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_480301.csv, skipping download.
[2024-05-21T09:34:08.350+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_480201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_480201.csv, skipping download.
[2024-05-21T09:34:08.355+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_478301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_478301.csv, skipping download.
[2024-05-21T09:34:08.359+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_478201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_478201.csv, skipping download.
[2024-05-21T09:34:08.362+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_474000.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_474000.csv, skipping download.
[2024-05-21T09:34:08.366+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_459205.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_459205.csv, skipping download.
[2024-05-21T09:34:08.371+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_459204.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_459204.csv, skipping download.
[2024-05-21T09:34:08.374+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_459203.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_459203.csv, skipping download.
[2024-05-21T09:34:08.379+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_459202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_459202.csv, skipping download.
[2024-05-21T09:34:08.382+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_459201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_459201.csv, skipping download.
[2024-05-21T09:34:08.386+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_455601.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_455601.csv, skipping download.
[2024-05-21T09:34:08.390+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_455301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_455301.csv, skipping download.
[2024-05-21T09:34:08.394+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_455203.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_455203.csv, skipping download.
[2024-05-21T09:34:08.399+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_455201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_455201.csv, skipping download.
[2024-05-21T09:34:08.405+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_451301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_451301.csv, skipping download.
[2024-05-21T09:34:08.409+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_450401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_450401.csv, skipping download.
[2024-05-21T09:34:08.412+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_450201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_450201.csv, skipping download.
[2024-05-21T09:34:08.419+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_440401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_440401.csv, skipping download.
[2024-05-21T09:34:08.423+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_440201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_440201.csv, skipping download.
[2024-05-21T09:34:08.429+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_438201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_438201.csv, skipping download.
[2024-05-21T09:34:08.435+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_436401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_436401.csv, skipping download.
